x,y
1352,1071
1353,1071
1354,1071
1355,1071
1062,1072
1063,1072
1064,1072
1065,1072
1342,1072
1343,1072
1344,1072
1345,1072
1066,1073
1067,1073
1068,1073
1069,1073
1070,1073
1071,1073
1072,1073
1073,1073
1074,1073
1075,1073
1076,1073
1077,1073
1337,1073
1338,1073
1339,1073
1340,1073
1341,1073
1078,1074
1079,1074
1080,1074
1081,1074
1082,1074
1083,1074
1084,1074
1085,1074
1086,1074
1087,1074
1088,1074
1089,1074
1090,1074
1091,1074
1092,1074
1093,1074
1094,1074
1095,1074
1325,1074
1326,1074
1327,1074
1328,1074
1329,1074
1330,1074
1331,1074
1332,1074
1333,1074
1334,1074
1335,1074
1336,1074
1096,1075
1097,1075
1098,1075
1099,1075
1100,1075
1101,1075
1102,1075
1103,1075
1104,1075
1314,1075
1315,1075
1316,1075
1317,1075
1318,1075
1319,1075
1320,1075
1321,1075
1322,1075
1323,1075
1324,1075
1105,1076
1106,1076
1107,1076
1108,1076
1109,1076
1309,1076
1310,1076
1311,1076
1312,1076
1313,1076
1110,1077
1111,1077
1112,1077
1113,1077
1114,1077
1115,1077
1116,1077
1117,1077
1118,1077
1119,1077
1120,1077
1121,1077
1122,1077
1123,1077
1124,1077
1125,1077
1126,1077
1127,1077
1128,1077
1129,1077
1130,1077
1131,1077
1132,1077
1291,1077
1292,1077
1293,1077
1294,1077
1295,1077
1296,1077
1297,1077
1298,1077
1299,1077
1300,1077
1301,1077
1302,1077
1303,1077
1304,1077
1305,1077
1306,1077
1307,1077
1308,1077
1133,1078
1134,1078
1135,1078
1136,1078
1137,1078
1138,1078
1139,1078
1140,1078
1141,1078
1142,1078
1143,1078
1144,1078
1145,1078
1146,1078
1147,1078
1148,1078
1149,1078
1150,1078
1151,1078
1152,1078
1153,1078
1154,1078
1269,1078
1270,1078
1271,1078
1272,1078
1273,1078
1274,1078
1275,1078
1276,1078
1277,1078
1278,1078
1279,1078
1280,1078
1281,1078
1282,1078
1283,1078
1284,1078
1285,1078
1286,1078
1287,1078
1288,1078
1289,1078
1290,1078
1155,1079
1156,1079
1157,1079
1158,1079
1159,1079
1160,1079
1161,1079
1162,1079
1163,1079
1164,1079
1165,1079
1166,1079
1167,1079
1168,1079
1169,1079
1170,1079
1171,1079
1172,1079
1173,1079
1174,1079
1175,1079
1176,1079
1177,1079
1178,1079
1179,1079
1244,1079
1245,1079
1246,1079
1247,1079
1248,1079
1249,1079
1250,1079
1251,1079
1252,1079
1253,1079
1254,1079
1255,1079
1256,1079
1257,1079
1258,1079
1259,1079
1260,1079
1261,1079
1262,1079
1263,1079
1264,1079
1265,1079
1266,1079
1267,1079
1268,1079
1180,1080
1181,1080
1182,1080
1183,1080
1184,1080
1185,1080
1186,1080
1187,1080
1188,1080
1189,1080
1190,1080
1191,1080
1192,1080
1193,1080
1194,1080
1195,1080
1196,1080
1197,1080
1198,1080
1199,1080
1200,1080
1201,1080
1202,1080
1203,1080
1204,1080
1205,1080
1206,1080
1207,1080
1208,1080
1209,1080
1210,1080
1211,1080
1212,1080
1213,1080
1214,1080
1215,1080
1216,1080
1217,1080
1218,1080
1219,1080
1220,1080
1221,1080
1222,1080
1223,1080
1224,1080
1225,1080
1226,1080
1227,1080
1228,1080
1229,1080
1230,1080
1231,1080
1232,1080
1233,1080
1234,1080
1235,1080
1236,1080
1237,1080
1238,1080
1239,1080
1240,1080
1241,1080
1242,1080
1243,1080
